m_name,m_surname,m_email,m_birth_year,m_birth_month,m_birth_day,m_group,m_rating,m_phone_number
Ірина,Коваль,iryna.koval1@student.org,1953,5,19,JBK-13,0,01,38(066)44-89-684
Остап,Гайдук,ostap.hayduk3@student.org,2009,1,24,HJF-19,0,00,38(099)83-59-784
Володимир,Іваненко,volodymyr.ivanenko3@student.org,2003,11,19,BBB-30,0,01,38(050)92-55-793
Роман,Іваненко,roman.ivanenko10@student.org,1962,6,10,ALK-97,0,00,38(050)53-88-922
Оксана,Михайленко,oksana.mykhaylenko30@student.org,1976,8,31,JHG-33,0,01,38(063)36-83-526
Тарас,Гайдук,taras.hayduk34@student.org,1982,12,3,VCD-70,0,01,38(093)86-44-730
Лариса,Гордієнко,larysa.hordiyenko41@student.org,1992,8,10,VCD-70,0,01,38(066)18-19-530
Лариса,Петренко,larysa.petrenko31@student.org,1974,12,26,GPU-62,0,00,38(099)11-76-101
Костянтин,Цимбал,kostyantyn.tsymbal37@student.org,1981,6,4,HSQ-85,0,01,38(068)46-66-299
Тетяна,Левченко,tetyana.levchenko7@student.org,2002,6,23,BQN-44,0,01,38(095)42-18-481
Петро,Іваненко,petro.ivanenko18@student.org,1983,1,9,PSO-80,0,01,38(096)37-29-773
Світлана,Кузьменко,svitlana.kuzmenko18@student.org,1959,5,29,IMZ-70,0,02,38(096)24-41-524
Любов,Поліщук,lyubov.polishchuk16@student.org,1980,6,27,VSB-27,0,02,38(068)65-19-758
Юлія,Коваленко,yuliya.kovalenko19@student.org,1997,4,3,VXV-83,0,01,38(095)55-28-206
Євгенія,Цимбал,yevheniya.tsymbal44@student.org,2008,8,16,TVQ-62,0,01,38(066)94-12-228
Богдан,Кравченко,bohdan.kravchenko4@student.org,1964,9,3,JHV-93,0,02,38(098)10-89-846
Алла,Левченко,alla.levchenko6@student.org,1966,1,8,FKZ-25,0,02,38(096)45-40-100
Валентина,Зайцев,valentyna.zaytsev12@student.org,1952,3,1,JBZ-52,0,02,38(096)34-36-654
Лілія,Михайленко,liliya.mykhaylenko29@student.org,2007,1,4,ERF-99,0,02,38(073)92-98-408
Тетяна,Петренко,tetyana.petrenko13@student.org,1996,9,16,DDU-91,0,03,38(097)67-53-743
Любов,Захарченко,lyubov.zakharchenko23@student.org,1994,7,20,JXG-42,0,03,38(093)28-81-800
