m_name,m_surname,m_email,m_birth_year,m_birth_month,m_birth_day,m_group,m_rating,m_phone_number
Василь,Шевчук,vasyl.shevchuk2@student.org,1989,11,13,SJT-41,0,00,38(098)67-34-917
Сергій,Козлов,serhiy.kozlov37@student.org,2000,7,1,TSG-56,0,00,38(095)31-15-437
Василь,Гриценко,vasyl.hrytsenko35@student.org,1991,9,10,QXI-65,0,00,38(063)26-50-561
Любов,Скрипка,lyubov.skrypka20@student.org,1954,4,28,MAD-27,0,00,38(096)12-46-639
Артем,Гончаренко,artem.honcharenko5@student.org,1976,8,31,FRW-16,0,00,38(050)52-63-608
Ганна,Шевчук,hanna.shevchuk36@student.org,1996,3,13,AYK-36,0,00,38(097)67-81-503
Олександр,Коваленко,oleksandr.kovalenko17@student.org,1992,9,30,XGP-48,0,00,38(050)79-71-979
Сергій,Бойко,serhiy.boyko16@student.org,1999,3,20,GWY-95,0,00,38(063)33-60-838
Михайло,Шевченко,mykhaylo.shevchenko9@student.org,1987,6,6,CJO-89,0,00,38(099)62-38-698
Віктор,Костенко,viktor.kostenko29@student.org,1957,5,14,ICO-23,0,00,38(068)27-42-434
Роман,Король,roman.korol69@student.org,1967,5,24,LKK-14,0,01,38(097)80-47-272
Любов,Скрипка,lyubov.skrypka11@student.org,1991,10,2,IBG-59,0,01,38(067)18-31-348
Артем,Коваль,artem.koval21@student.org,2008,12,27,WNK-68,0,01,38(073)16-63-899
Алла,Гриценко,alla.hrytsenko42@student.org,2004,12,9,WWQ-97,0,01,38(099)69-56-721
Катерина,Стельмах,kateryna.stelmakh14@student.org,1998,1,5,YJP-43,0,01,38(096)17-15-753
Юрій,Гордієнко,yuriy.hordiyenko54@student.org,1995,4,16,CJZ-26,0,01,38(097)62-59-232
Анна,Петренко,anna.petrenko28@student.org,2001,5,5,JMK-30,0,01,38(098)34-15-723
Ірина,Ткаченко,iryna.tkachenko4@student.org,1978,8,19,CCY-53,0,01,38(098)20-99-767
Сергій,Павленко,serhiy.pavlenko35@student.org,1967,6,10,ECP-99,0,01,38(066)47-96-150
Григорій,Новік,hryhoriy.novik30@student.org,1950,12,16,EHM-24,0,01,38(093)83-66-307
Анна,Рибак,anna.rybak4@student.org,1995,3,6,TIX-34,0,01,38(068)45-94-555
Наталія,Демченко,nataliya.demchenko32@student.org,1958,2,1,NWC-21,0,01,38(098)82-79-369
Юрій,Стельмах,yuriy.stelmakh10@student.org,1992,8,16,BQN-15,0,01,38(063)57-48-412
Віталій,Омельченко,vitaliy.omelchenko25@student.org,1993,5,13,XHO-90,0,01,38(063)22-60-700
Наталія,Захарченко,nataliya.zakharchenko29@student.org,1997,5,28,ZAC-45,0,01,38(097)45-43-639
Петро,Костенко,petro.kostenko22@student.org,2010,4,26,MVL-42,0,01,38(098)90-70-332
Катерина,Ткаченко,kateryna.tkachenko30@student.org,1951,6,27,WLA-91,0,01,38(093)91-55-634
Костянтин,Дорошенко,kostyantyn.doroshenko27@student.org,2001,8,29,IYZ-31,0,02,38(097)47-47-730
Наталія,Коваль,nataliya.koval1@student.org,1988,1,16,UCM-25,0,02,38(073)73-41-437
Андрій,Гончаренко,andriy.honcharenko30@student.org,1961,12,26,DPU-27,0,02,38(073)28-62-382
Володимир,Мельник,volodymyr.melnyk34@student.org,2008,6,21,FCQ-32,0,02,38(098)64-28-402
Тарас,Шаповал,taras.shapoval39@student.org,1988,4,3,HGJ-39,0,02,38(095)94-30-436
Роман,Рибак,roman.rybak56@student.org,1989,12,6,VFC-99,0,02,38(095)34-89-935
Юлія,Рибак,yuliya.rybak33@student.org,2001,12,27,OSH-85,0,02,38(067)32-92-867
Ганна,Костенко,hanna.kostenko9@student.org,1963,8,27,MVX-44,0,02,38(073)77-39-671
Лариса,Білоус,larysa.bilous13@student.org,1983,5,28,GLZ-46,0,02,38(096)80-53-857
Любов,Марченко,lyubov.marchenko16@student.org,1960,8,28,ZEV-93,0,02,38(068)53-15-130
Богдан,Литвин,bohdan.lytvyn19@student.org,1982,10,30,BWR-70,0,03,38(063)72-14-998
Григорій,Стельмах,hryhoriy.stelmakh23@student.org,1976,1,4,KJM-63,0,03,38(063)42-55-188
Лілія,Ткаченко,liliya.tkachenko19@student.org,1985,10,31,TOS-69,0,03,38(068)72-10-831
Андрій,Дорошенко,andriy.doroshenko4@student.org,1997,7,15,FXS-93,0,03,38(067)73-80-830
Юрій,Шевчук,yuriy.shevchuk21@student.org,1983,3,30,FJU-86,0,03,38(063)53-42-138
Артем,Козлов,artem.kozlov13@student.org,1957,10,30,RLS-67,0,03,38(098)83-95-845
Євгенія,Левченко,yevheniya.levchenko@student.org,1981,4,25,COD-54,0,03,38(098)46-84-522
Любов,Король,lyubov.korol51@student.org,1998,4,26,PPK-58,0,03,38(099)82-30-201
Богдан,Никоненко,bohdan.nykonenko28@student.org,1976,2,20,MRF-87,0,03,38(095)26-77-938
Валентина,Гладко,valentyna.hladko30@student.org,2000,3,20,VUS-33,0,03,38(073)47-88-436
Юлія,Новік,yuliya.novik29@student.org,2006,11,1,HQN-61,0,03,38(066)85-82-685
Костянтин,Поліщук,kostyantyn.polishchuk15@student.org,2006,6,27,NYB-19,0,03,38(097)60-69-542
Денис,Макаренко,denys.makarenko46@student.org,1958,4,14,NNX-96,0,04,38(098)78-20-288
Олександр,Новік,oleksandr.novik21@student.org,1952,2,26,SXG-84,0,04,38(095)45-49-356
Вікторія,Ткаченко,viktoriya.tkachenko29@student.org,1951,5,25,NYB-10,0,04,38(066)13-86-807
Наталія,Рибак,nataliya.rybak4@student.org,1959,9,19,BPE-62,0,04,38(066)42-14-971
Вікторія,Омельченко,viktoriya.omelchenko33@student.org,2004,12,30,KWK-69,0,04,38(073)56-24-683
Остап,Зайцев,ostap.zaytsev16@student.org,1972,12,11,DRT-72,0,05,38(098)90-34-754
Любов,Захарченко,lyubov.zakharchenko9@student.org,1969,3,28,QGS-78,0,05,38(098)87-38-121
Денис,Гриценко,denys.hrytsenko22@student.org,1966,12,16,RDK-66,0,05,38(098)13-51-485
Марія,Король,mariya.korol22@student.org,1997,4,15,SZY-46,0,05,38(096)15-60-270
Інна,Скрипка,inna.skrypka3@student.org,1983,3,11,AKO-66,0,05,38(050)96-84-730
Наталія,Михайленко,nataliya.mykhaylenko5@student.org,1967,8,7,RHJ-36,0,05,38(073)65-38-409
Лариса,Скрипка,larysa.skrypka17@student.org,1967,4,30,NRN-20,0,05,38(097)25-66-864
Вера,Василенко,vera.vasylenko20@student.org,1975,3,4,WKR-87,0,05,38(050)99-52-666
Василь,Марченко,vasyl.marchenko10@student.org,1952,9,8,JSL-31,0,05,38(068)23-47-195
Лариса,Шаповал,larysa.shapoval5@student.org,1971,2,19,QZO-34,0,05,38(066)18-26-186
Галина,Авраменко,halyna.avramenko41@student.org,1957,4,25,ZLF-89,0,05,38(095)95-54-606
Ярослав,Левченко,yaroslav.levchenko25@student.org,1975,9,5,EIO-63,0,05,38(067)83-90-266
Тарас,Гладко,taras.hladko20@student.org,1968,7,11,YDC-75,0,05,38(073)66-36-334
Оксана,Зайцев,oksana.zaytsev35@student.org,1972,3,5,XUP-15,0,05,38(050)32-39-977
Юлія,Панченко,yuliya.panchenko22@student.org,1968,3,27,ARZ-63,0,05,38(063)25-99-971
Михайло,Поліщук,mykhaylo.polishchuk17@student.org,1999,2,6,TGD-82,0,05,38(098)83-35-643
Оксана,Литвин,oksana.lytvyn39@student.org,1986,7,24,HVV-34,0,06,38(098)85-79-582
Артем,Никоненко,artem.nykonenko15@student.org,1983,12,10,QAF-60,0,06,38(098)25-52-315
Віталій,Шевченко,vitaliy.shevchenko33@student.org,2001,5,26,MHO-10,0,06,38(068)27-53-382
Лариса,Зайцев,larysa.zaytsev29@student.org,1992,8,31,OQL-77,0,06,38(067)63-81-753
Денис,Дорошенко,denys.doroshenko19@student.org,1992,12,14,BHC-41,0,06,38(067)34-49-466
Сергій,Гайдук,serhiy.hayduk24@student.org,1955,10,15,OMM-27,0,06,38(050)83-58-824
Віктор,Демченко,viktor.demchenko33@student.org,1994,3,9,JAD-16,0,06,38(093)77-46-892
